math_score,read_score,scie_score,gender,immig,homelang,desk,room,quietplace,homecomputer,homeinternet,books,booksqty,misced,fisced,hisced,pared,cultposs,hedres,wealth,ictres,schlregion,schllocation,schltype,stratio,schsize,clsize,schid,stuid,composite_score,resource_index,schltype_enc,schllocation_enc,gender_enc,immig_enc,homelang_enc,schlregion_enc,cluster
496.31989,455.3833,549.3197,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,-0.9969,-0.6134,0.5339,1.5806,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.7353,1138,28,82600003,82602462,500.3409633333333,5,1,3,0,1,0,0,2
495.4718,541.29523,507.7843,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-0.356,0.0321,0.8848,1.9538,United Kingdom: Wales,A city (100 000 to about 1 000 000 people),Public,17.6197,1251,28,82600004,82606243,514.8504433333334,6,1,0,0,1,0,3,2
436.2059,388.58301,443.19409,Female,Native,Language of test,Yes,No,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,2.1655,1.1563,0.4772,1.4083,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.1163,650,18,82600005,82608239,422.661,5,1,3,0,1,0,0,2
591.99707,577.27991,594.841,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,0.0433,-0.1108,1.9296,1.232,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,18.4035,1049,18,82600008,82605117,588.0393266666666,6,1,2,0,1,0,3,2
546.43671,637.32391,645.69189,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,More than 500 books,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,0.0045,0.0659,-0.0969,0.4091,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.2326,1396,28,82600010,82610880,609.8175033333333,5,1,3,0,1,0,0,2
490.67999,485.41541,486.64651,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-0.831,1.1563,-0.2065,-0.6756,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,16.24,609,28,82600012,82602074,487.58063666666663,6,1,2,1,1,0,3,1
505.78201,536.9212,476.9693,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-0.7039,1.1563,1.6979,2.618,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,16.0819,1375,23,82600017,82602788,506.5575033333334,6,1,0,0,1,0,0,2
501.2691,528.77509,519.62891,Female,Native,Language of test,No,Yes,No,No,Yes,Yes,0-10 books,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,14,-0.6174,-2.412,-0.625,-1.0701,United Kingdom: England,A town (15 000 to about 100 000 people),Public,12.5818,692,23,82600020,82606052,516.5577,3,1,3,0,1,0,0,1
509.71921,537.5376,567.85248,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,2.1655,1.1563,1.1344,0.7936,United Kingdom: England,A small town (3 000 to about 15 000 people),Public,16.6988,1386,23,82600024,82609166,538.3697633333333,6,1,2,1,1,0,0,2
490.6001,392.64929,437.87759,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,0.2162,-0.7218,1.2616,0.9104,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.375,1035,28,82600027,82610421,440.37566,6,1,3,1,1,0,0,2
503.9736,503.32111,574.32831,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 5A, 6","ISCED 5A, 6",16,-0.6174,-0.7218,-0.7444,-0.2729,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,15.3226,950,23,82600033,82612211,527.2076733333333,6,1,3,0,1,0,3,1
512.40417,629.37231,582.04547,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,2.1655,1.1563,3.0097,3.4968,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,17.0196,868,28,82600036,82611940,574.6073166666666,6,1,2,0,1,0,3,2
543.8111,566.0885,589.93579,Female,Native,Language of test,Yes,Yes,Yes,No,Yes,Yes,0-10 books,ISCED 5B,"ISCED 3B, C",ISCED 5B,14,-1.2278,-1.4432,-0.9069,-1.0838,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.92,1692,28,82600039,82612663,566.6117966666667,5,1,3,0,1,0,0,1
548.70697,582.98077,594.2757,Female,Native,Language of test,Yes,Yes,Yes,No,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,-0.2818,-1.4432,-0.8349,-1.048,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.3778,647,23,82600043,82602532,575.3211466666667,5,1,3,0,1,0,0,1
549.28278,537.41022,557.92108,Male,Native,Language of test,Yes,Yes,Yes,No,Yes,No,0-10 books,"ISCED 3B, C",ISCED 5B,ISCED 5B,14,-1.2278,-1.7275,-1.0762,-1.0701,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,25.1471,855,28,82600046,82600678,548.2046933333332,4,1,2,1,1,0,3,1
525.68359,596.92767,559.84192,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,ISCED 5B,ISCED 5B,ISCED 5B,14,0.0045,1.1563,0.4772,0.4091,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.9595,1181,28,82600048,82610672,560.8177266666667,6,1,3,0,1,0,0,2
