math_score,read_score,scie_score,gender,immig,homelang,desk,room,quietplace,homecomputer,homeinternet,books,booksqty,misced,fisced,hisced,pared,cultposs,hedres,wealth,ictres,schlregion,schllocation,schltype,stratio,schsize,clsize,schid,stuid
496.31989,455.3833,549.3197,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,-.9969,-.6133999999999999,.5339,1.5806,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.7353,1138,28,82600003,82602462
495.4718,541.29523,507.7843,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.356,.0321,.8848,1.9538,United Kingdom: Wales,A city (100 000 to about 1 000 000 people),Public,17.6197,1251,28,82600004,82606243
436.2059,388.58301,443.19409,Female,Native,Language of test,Yes,No,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,2.1655,1.1563,.4772,1.4083,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.1163,650,18,82600005,82608239
591.99707,577.27991,594.841,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,.0433,-.1108,1.9296,1.232,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,18.4035,1049,18,82600008,82605117
546.43671,637.32391,645.69189,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,More than 500 books,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,.0045,.0659,-.0969,.4091,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.2326,1396,28,82600010,82610880
490.67999,485.41541,486.64651,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-.831,1.1563,-.2065,-.6756,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,16.24,609,28,82600012,82602074
505.78201,536.9212,476.9693,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.7039,1.1563,1.6979,2.618,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,16.0819,1375,23,82600017,82602788
501.2691,528.77509,519.62891,Female,Native,Language of test,No,Yes,No,No,Yes,Yes,0-10 books,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,14,-.6173999999999999,-2.412,-.625,-1.0701,United Kingdom: England,A town (15 000 to about 100 000 people),Public,12.5818,692,23,82600020,82606052
509.71921,537.5376,567.85248,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,2.1655,1.1563,1.1344,.7936,United Kingdom: England,A small town (3 000 to about 15 000 people),Public,16.6988,1386,23,82600024,82609166
490.6001,392.64929,437.87759,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.2162,-.7218,1.2616,.9104,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.375,1035,28,82600027,82610421
